source_index,source_file,index_file,row_count,train_rows,validation_rows,test_rows
27,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Philips_B120N10_Baby_Monitor\gafgyt_attacks\junk.csv,source_027.npy,28349,20220,4079,4050
28,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Philips_B120N10_Baby_Monitor\gafgyt_attacks\scan.csv,source_028.npy,27859,19774,4009,4076
29,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Philips_B120N10_Baby_Monitor\gafgyt_attacks\tcp.csv,source_029.npy,92581,60666,15851,16064
30,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Philips_B120N10_Baby_Monitor\gafgyt_attacks\udp.csv,source_030.npy,105782,70901,17526,17355
31,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Philips_B120N10_Baby_Monitor\mirai_attacks\ack.csv,source_031.npy,91123,64828,13229,13066
32,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Philips_B120N10_Baby_Monitor\mirai_attacks\scan.csv,source_032.npy,103621,73412,15109,15100
33,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Philips_B120N10_Baby_Monitor\mirai_attacks\syn.csv,source_033.npy,118128,84038,16995,17095
34,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Philips_B120N10_Baby_Monitor\mirai_attacks\udp.csv,source_034.npy,217034,154146,31538,31350
35,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Philips_B120N10_Baby_Monitor\mirai_attacks\udpplain.csv,source_035.npy,80808,57226,11698,11884
36,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_737E_Security_Camera\gafgyt_attacks\combo.csv,source_036.npy,61380,43742,8800,8838
37,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_737E_Security_Camera\gafgyt_attacks\junk.csv,source_037.npy,30898,22057,4418,4423
38,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_737E_Security_Camera\gafgyt_attacks\scan.csv,source_038.npy,29297,20987,4136,4174
39,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_737E_Security_Camera\gafgyt_attacks\tcp.csv,source_039.npy,104510,68605,17971,17934
40,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_737E_Security_Camera\gafgyt_attacks\udp.csv,source_040.npy,104011,70079,17007,16925
41,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_737E_Security_Camera\mirai_attacks\ack.csv,source_041.npy,60554,43059,8739,8756
42,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_737E_Security_Camera\mirai_attacks\scan.csv,source_042.npy,96781,68927,14047,13807
43,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_737E_Security_Camera\mirai_attacks\syn.csv,source_043.npy,65746,46912,9347,9487
44,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_737E_Security_Camera\mirai_attacks\udp.csv,source_044.npy,156248,111402,22422,22424
45,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_737E_Security_Camera\mirai_attacks\udpplain.csv,source_045.npy,56681,40504,8029,8148
46,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_838_Security_Camera\gafgyt_attacks\combo.csv,source_046.npy,57530,41000,8327,8203
47,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_838_Security_Camera\gafgyt_attacks\junk.csv,source_047.npy,29068,20782,4176,4110
48,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_838_Security_Camera\gafgyt_attacks\scan.csv,source_048.npy,28397,20137,4120,4140
49,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_838_Security_Camera\gafgyt_attacks\tcp.csv,source_049.npy,89387,58676,15465,15246
50,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_838_Security_Camera\gafgyt_attacks\udp.csv,source_050.npy,104658,70278,17160,17220
51,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_838_Security_Camera\mirai_attacks\ack.csv,source_051.npy,57997,41342,8149,8506
52,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_838_Security_Camera\mirai_attacks\scan.csv,source_052.npy,97096,69193,13922,13981
53,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_838_Security_Camera\mirai_attacks\syn.csv,source_053.npy,61851,44014,8892,8945
54,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_838_Security_Camera\mirai_attacks\udp.csv,source_054.npy,158608,113044,22849,22715
55,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Provision_PT_838_Security_Camera\mirai_attacks\udpplain.csv,source_055.npy,53785,38398,7697,7690
56,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Samsung_SNH_1011_N_Webcam\gafgyt_attacks\combo.csv,source_056.npy,58669,42968,7818,7883
57,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Samsung_SNH_1011_N_Webcam\gafgyt_attacks\junk.csv,source_057.npy,28305,20678,3785,3842
58,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Samsung_SNH_1011_N_Webcam\gafgyt_attacks\scan.csv,source_058.npy,27698,20322,3714,3662
59,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Samsung_SNH_1011_N_Webcam\gafgyt_attacks\tcp.csv,source_059.npy,97783,66027,15936,15820
60,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Samsung_SNH_1011_N_Webcam\gafgyt_attacks\udp.csv,source_060.npy,110617,76155,17208,17254
61,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1002_WHT_Security_Camera\gafgyt_attacks\combo.csv,source_061.npy,54283,38570,7757,7956
62,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1002_WHT_Security_Camera\gafgyt_attacks\junk.csv,source_062.npy,28579,20396,4108,4075
63,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1002_WHT_Security_Camera\gafgyt_attacks\scan.csv,source_063.npy,27825,19846,4101,3878
64,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1002_WHT_Security_Camera\gafgyt_attacks\tcp.csv,source_064.npy,88816,58160,15344,15312
65,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1002_WHT_Security_Camera\gafgyt_attacks\udp.csv,source_065.npy,103720,69597,16927,17196
66,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1002_WHT_Security_Camera\mirai_attacks\ack.csv,source_066.npy,111480,79287,16062,16131
67,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1002_WHT_Security_Camera\mirai_attacks\scan.csv,source_067.npy,45930,32511,6705,6714
68,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1002_WHT_Security_Camera\mirai_attacks\syn.csv,source_068.npy,125715,89439,18216,18060
69,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1002_WHT_Security_Camera\mirai_attacks\udp.csv,source_069.npy,151879,108035,21984,21860
70,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1002_WHT_Security_Camera\mirai_attacks\udpplain.csv,source_070.npy,78244,55689,11267,11288
71,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1003_WHT_Security_Camera\gafgyt_attacks\combo.csv,source_071.npy,59398,42299,8520,8579
72,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1003_WHT_Security_Camera\gafgyt_attacks\junk.csv,source_072.npy,27413,19574,3981,3858
73,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1003_WHT_Security_Camera\gafgyt_attacks\scan.csv,source_073.npy,28572,20450,4055,4067
74,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1003_WHT_Security_Camera\gafgyt_attacks\tcp.csv,source_074.npy,98075,64277,16941,16857
75,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1003_WHT_Security_Camera\gafgyt_attacks\udp.csv,source_075.npy,102980,69043,16927,17010
76,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1003_WHT_Security_Camera\mirai_attacks\ack.csv,source_076.npy,107187,76209,15569,15409
77,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1003_WHT_Security_Camera\mirai_attacks\scan.csv,source_077.npy,43674,31215,6237,6222
78,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1003_WHT_Security_Camera\mirai_attacks\syn.csv,source_078.npy,122479,87127,17696,17656
79,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1003_WHT_Security_Camera\mirai_attacks\udp.csv,source_079.npy,157084,111670,22474,22940
80,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\SimpleHome_XCS7_1003_WHT_Security_Camera\mirai_attacks\udpplain.csv,source_080.npy,84436,60044,12295,12097
81,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\zip_extract\Danmini_Doorbell\benign_traffic.csv,source_081.npy,49548,34684,7432,7432
82,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\zip_extract\Ecobee_Thermostat\benign_traffic.csv,source_082.npy,13113,9179,1967,1967
83,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\zip_extract\Ennio_Doorbell\benign_traffic.csv,source_083.npy,39100,27370,5865,5865
84,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\zip_extract\Philips_B120N10_Baby_Monitor\benign_traffic.csv,source_084.npy,175240,122668,26286,26286
85,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\zip_extract\Provision_PT_737E_Security_Camera\benign_traffic.csv,source_085.npy,62154,43508,9323,9323
86,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\zip_extract\Provision_PT_838_Security_Camera\benign_traffic.csv,source_086.npy,98514,68960,14777,14777
87,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\zip_extract\Samsung_SNH_1011_N_Webcam\benign_traffic.csv,source_087.npy,52150,36505,7823,7822
88,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\zip_extract\SimpleHome_XCS7_1002_WHT_Security_Camera\benign_traffic.csv,source_088.npy,46585,32609,6988,6988
89,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\zip_extract\SimpleHome_XCS7_1003_WHT_Security_Camera\benign_traffic.csv,source_089.npy,19528,13670,2929,2929
